answer,qid
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-6
"At first , my logical mind thought that it was my brother playing around with his new flashlight ( not at all like it , but the closest thing I could imagine ) And when I went inside the house , everyone was snoring !",blogs-02-7
A young man the motorbike of the young man on the front yard of a narrator the neck of the young man,blogs-02-8
The narrator the young man the young man the neck of the young man,blogs-02-9
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-10
The narrator that the flash,blogs-02-11
The narrator a group of trees the narrator,blogs-02-12
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-13
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-14
A young man,blogs-02-15
The narrator,blogs-02-16
The squirrel the bowl,blogs-04-1
The squirrel the deck the squirrel the squirrel,blogs-04-2
The squirrel the deck,blogs-04-3
The birds the bowl,blogs-04-4
Squirrels also come to drink out of it .,blogs-04-5
"But not quite , I saw his one little paw hanging on !",blogs-04-6
a digital camera,blogs-04-7
the day,blogs-04-8
The birds literally line up on the railing and wait their turn .,blogs-04-9
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .,blogs-04-10
The craziest squirrel just came by- he was literally jumping in fright at what I believe was his own reflection in the bowl .,blogs-04-11
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .,blogs-04-12
"Throughout the day , many birds drink out of it and bathe in it .",blogs-04-13
We,blogs-04-14
Louisiana was adversely affected by Hurricane Gustav .,blogs-03-1
The storm the morning,blogs-03-2
Winds started kicking up .,blogs-03-3
the damage,blogs-03-4
Here 's what happened to me and my family : We watched the storm moving in all of last weekend on the Weather Channel and local news .,blogs-03-5
I went to Home Depot just in the nick of time to purchase a portable generator .,blogs-03-6
a neighborhood of the narrator a large group of pine trees a group of oak trees,blogs-03-7
to be nervous because it,blogs-03-8
"Thankfully , my parents ' house had electricity restored the day after the storm so I was able to bring my family to their house until electricity at my house gets restored .",blogs-03-9
The narrator,blogs-03-10
An area of a neighborhood of the narrator,blogs-03-11
The tree,blogs-03-12
The narrator,blogs-03-13
The narrator,blogs-03-14
"My wife , our five children , and our dog ,",blogs-03-15
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-1
a branch of a tree with a piece of cheese in a Fox the cheese,fables-01-2
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-3
the crow the cheese,fables-01-4
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-5
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-6
The crow the fox,fables-01-7
There,fables-01-8
was in the beak of the crow,fables-01-9
A Crow,fables-01-10
A fox,fables-01-11
The fox,fables-01-12
loudly,fables-01-13
A Lion a fat Bull feeding in a meadow the royal feast he,fables-02-1
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off ; and , having now lost his only means of defense , fell an easy prey to the Lion .",fables-02-2
"A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-3
"But , my dear friend , what in the world makes you wear those ugly horns ?",fables-02-4
A lion the bull the lion the bull,fables-02-5
The lion the bull that the lion,fables-02-6
"But , my dear friend , what in the world makes you wear those ugly horns ?",fables-02-7
"But , my dear friend , what in the world makes you wear those ugly horns ?",fables-02-8
the bull the lion the bull,fables-02-9
"A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-10
The lion the bull because the lion the bull,fables-02-11
"my dear friend , what in the world makes you",fables-02-12
A lion,fables-02-13
because the lion wanted to eat the bull,fables-02-14
The lion,fables-02-15
because every horn of the bull was ugly,fables-02-16
The lion,fables-02-17
The lion,fables-02-18
Today was the start of the G20 summit .,blogs-01-1
Today was the start of the G20 summit .,blogs-01-2
Since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest .,blogs-01-3
The people a police car a thing at a police,blogs-01-4
The people,blogs-01-5
The people,blogs-01-6
The people a police car a thing at a police,blogs-01-7
The people a police car a thing at a police,blogs-01-8
The people a police car a thing at a police,blogs-01-9
Police cars were burned and things were thrown at cops .,blogs-01-10
the rioters while they,blogs-01-11
the rioters while they,blogs-01-12
the rioters while they,blogs-01-13
The police,blogs-01-14
things,blogs-01-15
because it disagreed about a view,blogs-01-16
The people,blogs-01-17
Police were in full riot gear to alleviate the violence .,blogs-01-18
Alyssa got to the beach after a long trip .,mc500.train.0.1
a salad,mc500.train.0.2
Kristin had soup .,mc500.train.0.3
Alyssa got to the beach after a long trip .,mc500.train.0.4
Alyssa was happy to spend time with her friends again .,mc500.train.0.5
They stayed the night because they were tired .,mc500.train.0.6
The girls,mc500.train.0.7
the beach,mc500.train.0.8
The restaurant a special on catfish,mc500.train.0.9
Alyssa called her friends Kristin and Rachel to meet at Ellen 's house .,mc500.train.0.10
The girls went to a restaurant for dinner .,mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen 's house .,mc500.train.0.12
Ellen,mc500.train.0.13
The girls,mc500.train.0.14
yes,mc500.train.0.15
yes,mc500.train.0.16
It was Saturday afternoon and Andrew was bored .,mc500.train.23.1
He had been watching TV all day .,mc500.train.23.2
It was Saturday afternoon and Andrew was bored .,mc500.train.23.3
the window the newspaper by the door,mc500.train.23.4
On the front was a picture of an elephant .,mc500.train.23.5
He had been watching TV all day .,mc500.train.23.6
the story,mc500.train.23.7
The circus was in town !,mc500.train.23.8
Andrew had never been to the circus .,mc500.train.23.9
"`` Yes , we can , ' Andrew 's dad said , 'but first you need to feed your goldfish . ''",mc500.train.23.10
The people the circus,mc500.train.23.11
"Andrew 's dad said , `` I think the newspaper is here .",mc500.train.23.12
Andrew and his dad had a lot of fun at the circus .,mc500.train.23.13
"He asked his dad , `` Can we go ? ''",mc500.train.23.14
The elephant even went down a slide !,mc500.train.23.15
Andrew 's dad,mc500.train.23.16
"Andrew 's dad said , `` I think the newspaper is here .",mc500.train.23.17
The elephant,mc500.train.23.18
The people and animals at the circus,mc500.train.23.19
He,mc500.train.23.20
Andrew,mc500.train.23.21
Andrew and his dad,mc500.train.23.22
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.1
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.2
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.3
"She was going to give her mom the biggest , most beautiful bunch of flowers her mother had ever seen .",mc500.train.18.4
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.5
the flowers,mc500.train.18.6
She knew where the best flowers were in her yard .,mc500.train.18.7
"After Kelly collected all of the flowers , she went inside and tied them together with string .",mc500.train.18.8
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.9
a hurry because it,mc500.train.18.10
"Finally , her mother woke up at 8:30 AM , and Kelly was excited !",mc500.train.18.11
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.12
The red ones the orange ones the green ones the middle,mc500.train.18.13
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.14
Her mother 's favorite was the red one .,mc500.train.18.15
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.16
Kelly,mc500.train.18.17
She,mc500.train.18.18
She,mc500.train.18.19
After Kelly collected all of the flowers,mc500.train.18.20
After Kelly collected all of the flowers,mc500.train.18.21
