answer,qid
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-5
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-6
The crow the fox,fables-01-7
There,fables-01-8
in the beak of the crow,fables-01-9
A Crow,fables-01-10
A fox,fables-01-11
The fox,fables-01-12
loudly,fables-01-13
A fox,fables-01-14
A fox,fables-01-15
The fox,fables-01-16
The crow,fables-01-17
The fox,fables-01-18
A Lion a fat Bull feeding in a meadow the royal feast he,fables-02-1
"The Bull was foolish enough to be persuaded by this flattery to have his horns cut off ; and , having now lost his only means of defense , fell an easy prey to the Lion .",fables-02-2
"A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-3
"But , my dear friend , what in the world makes you wear those ugly horns ?",fables-02-4
A lion the bull the lion the bull,fables-02-5
The lion the bull that the lion,fables-02-6
"But , my dear friend , what in the world makes you wear those ugly horns ?",fables-02-7
The Bull the Lion,fables-02-8
the bull the lion the bull,fables-02-9
"A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-10
The lion the bull because the lion the bull,fables-02-11
"my dear friend , what in the world makes you",fables-02-12
A lion,fables-02-13
because the lion wanted to eat the bull,fables-02-14
The lion,fables-02-15
because every horn of the bull was ugly,fables-02-16
The lion,fables-02-17
The lion,fables-02-18
A lion,fables-02-19
because the lion feared sharp every horn of the bull,fables-02-20
A lion,fables-02-21
A lion,fables-02-22
The lion,fables-02-23
Today was the start of the G20 summit .,blogs-01-1
Today was the start of the G20 summit .,blogs-01-2
Since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest .,blogs-01-3
The people a police car a thing at a police,blogs-01-4
The people,blogs-01-5
The people,blogs-01-6
The people a police car a thing at a police,blogs-01-7
The people a police car a thing at a police,blogs-01-8
The people a police car a thing at a police,blogs-01-9
Police cars were burned and things were thrown at cops .,blogs-01-10
the rioters while they,blogs-01-11
the rioters while they,blogs-01-12
the rioters while they,blogs-01-13
The police,blogs-01-14
things,blogs-01-15
because it disagreed about a view,blogs-01-16
The people,blogs-01-17
Police were in full riot gear to alleviate the violence .,blogs-01-18
The police,blogs-01-19
The people,blogs-01-20
The people,blogs-01-21
The people,blogs-01-22
The people,blogs-01-23
The police,blogs-01-24
A Fox a Stork a large flat dish of soup,fables-04-1
a Stork a large flat dish of soup,fables-04-2
"A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .",fables-04-3
"A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .",fables-04-4
The fox,fables-04-5
to be to be helpless because he to reach some food,fables-04-6
The stork the long bill of the stork into the pitcher,fables-04-7
to reach the tempting contents of the vessel,fables-04-8
The Fox,fables-04-9
The stork,fables-04-10
The stork,fables-04-11
A clever fox,fables-04-12
The fox,fables-04-13
The stork,fables-04-14
The stork,fables-04-15
The fox,fables-04-16
The stork,fables-04-17
a group of students a narrator,blogs-05-1
The narrator the group of students for presence the front of a classroom,blogs-05-2
The narrator the ankle of the narrator,blogs-05-3
The narrator the group of students,blogs-05-4
The narrator the group of students,blogs-05-5
The narrator the slip a bottom drawer of the desk,blogs-05-6
the floor,blogs-05-7
a teacher,blogs-05-8
that the floor,blogs-05-9
The narrator,blogs-05-10
Elastic gone What to do ?,blogs-05-11
The narrator,blogs-05-12
The narrator,blogs-05-13
"So Ahmed , what did you do in school today",blogs-05-14
I,blogs-05-15
The narrator,blogs-05-16
There,blogs-05-17
Just thought I would share with you one of my most embarassing moments as a teacher to date .,blogs-05-18
in school today,blogs-05-19
Just thought I would share with you one of my most embarassing moments as a teacher to date .,blogs-05-20
A Farmer a Fox,fables-05-1
"As ill-luck would have it , however , the Fox made straight for the fields where the corn was standing ripe and ready for cutting .",fables-05-2
the Farmer,fables-05-3
The agriculturist a trap the fox,fables-05-4
"A Farmer was greatly annoyed by a Fox , which came prowling about his yard at night and carried off his fowls .",fables-05-5
The agriculturist the fiber the fox,fables-05-6
The corn,fables-05-7
"It quickly caught fire and was all burnt up , and the Farmer lost all his harvest .",fables-05-8
A Farmer,fables-05-9
The agriculturist set a,fables-05-10
The agriculturist,fables-05-11
because the fox ran into a field,fables-05-12
The corn,fables-05-13
He,fables-05-14
An agriculturist,fables-05-15
An agriculturist,fables-05-16
The young man the spot of the yard of the narrator,blogs-02-1
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-2
the place,blogs-02-3
to talk to know the narrator,blogs-02-4
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-5
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-6
"At first , my logical mind thought that it was my brother playing around with his new flashlight ( not at all like it , but the closest thing I could imagine ) And when I went inside the house , everyone was snoring !",blogs-02-7
A young man the motorbike of the young man on the front yard of a narrator the neck of the young man,blogs-02-8
The narrator the young man the young man the neck of the young man,blogs-02-9
"A few years ago , a young man died out on my front lawn when he crashed his motorbike .",blogs-02-10
The narrator that the flash,blogs-02-11
The narrator a group of trees the narrator,blogs-02-12
on my front lawn,blogs-02-13
of the young man,blogs-02-14
A young man,blogs-02-15
The narrator,blogs-02-16
A young man,blogs-02-17
A young man,blogs-02-18
The narrator,blogs-02-19
A young man,blogs-02-20
The squirrel the bowl,blogs-04-1
The squirrel the deck the squirrel the squirrel,blogs-04-2
The squirrel the deck,blogs-04-3
The birds the bowl,blogs-04-4
Squirrels also come to drink out of it .,blogs-04-5
"But not quite , I saw his one little paw hanging on !",blogs-04-6
a digital camera,blogs-04-7
the day,blogs-04-8
The birds literally line up on the railing and wait their turn .,blogs-04-9
on the deck in order for Benjamin,blogs-04-10
The craziest squirrel just came by- he was literally jumping in fright at what I believe was his own reflection in the bowl .,blogs-04-11
"Throughout the day , many birds drink out of it and bathe in it .",blogs-04-12
We,blogs-04-13
"Throughout the day , many birds drink out of it and bathe in it .",blogs-04-14
The birds,blogs-04-15
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .,fables-03-1
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .,fables-03-2
a Serpent the intention of,fables-03-3
"A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .",fables-03-4
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .,fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn .,fables-03-6
The countryman the drinking vessel,fables-03-7
The eagle the drinking vessel,fables-03-8
The eagle the drinking vessel,fables-03-9
"Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .",fables-03-10
"Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .",fables-03-11
the Serpent the man,fables-03-12
An Eagle,fables-03-13
The eagle,fables-03-14
"A countryman , who was a witness of the encounter ,",fables-03-15
"A countryman , who was a witness of the encounter ,",fables-03-16
A countryman who owned a drinking vessel,fables-03-17
"A countryman , who was a witness of the encounter ,",fables-03-18
A countryman who owned a drinking vessel,fables-03-19
The serpent,fables-03-20
his exertions,fables-03-21
An eagle,fables-03-22
The eagle,fables-03-23
An eagle,fables-03-24
An eagle,fables-03-25
A countryman who owned a drinking vessel,fables-03-26
in the drinking vessel,fables-03-27
Alyssa got to the beach after a long trip .,mc500.train.0.1
a salad,mc500.train.0.2
Kristin had soup .,mc500.train.0.3
Alyssa got to the beach after a long trip .,mc500.train.0.4
Alyssa was happy to spend time with her friends again .,mc500.train.0.5
They stayed the night because they were tired .,mc500.train.0.6
The girls,mc500.train.0.7
the beach,mc500.train.0.8
the restaurant,mc500.train.0.9
Alyssa called her friends Kristin and Rachel to meet at Ellen 's house .,mc500.train.0.10
The girls went to a restaurant for dinner .,mc500.train.0.11
Alyssa called her friends Kristin and Rachel to meet at Ellen 's house .,mc500.train.0.12
Ellen,mc500.train.0.13
The girls,mc500.train.0.14
yes,mc500.train.0.15
yes,mc500.train.0.16
Alyssa got to the beach after a long trip .,mc500.train.0.17
yes,mc500.train.0.18
Alyssa,mc500.train.0.19
Alyssa enjoyed the restaurant 's special .,mc500.train.0.20
Alyssa,mc500.train.0.21
"After eating , the ladies went back to Ellen 's house to have fun .",mc500.train.0.22
"But she wanted some time to herself at the beach , so she went there first .",mc500.train.0.23
Alyssa got to the beach after a long trip .,mc500.train.0.24
It was Saturday afternoon and Andrew was bored .,mc500.train.23.1
He had been watching TV all day .,mc500.train.23.2
It was Saturday afternoon and Andrew was bored .,mc500.train.23.3
the window the newspaper by the door,mc500.train.23.4
On the front was a picture of an elephant .,mc500.train.23.5
He had been watching TV all day .,mc500.train.23.6
the story,mc500.train.23.7
The circus was in town !,mc500.train.23.8
Andrew had never been to the circus .,mc500.train.23.9
"`` Yes , we can , ' Andrew 's dad said , 'but first you need to feed your goldfish . ''",mc500.train.23.10
The people the circus,mc500.train.23.11
"Andrew 's dad said , `` I think the newspaper is here .",mc500.train.23.12
Andrew and his dad had a lot of fun at the circus .,mc500.train.23.13
"He asked his dad , `` Can we go ? ''",mc500.train.23.14
The elephant even went down a slide !,mc500.train.23.15
Andrew 's dad,mc500.train.23.16
"Andrew 's dad said , `` I think the newspaper is here .",mc500.train.23.17
The elephant,mc500.train.23.18
The people and animals at the circus,mc500.train.23.19
He,mc500.train.23.20
Andrew,mc500.train.23.21
Andrew and his dad,mc500.train.23.22
Andrew 's dad,mc500.train.23.23
left to bring home to the goldfish,mc500.train.23.24
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.1
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.2
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.3
"She was going to give her mom the biggest , most beautiful bunch of flowers her mother had ever seen .",mc500.train.18.4
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.5
the flowers,mc500.train.18.6
She knew where the best flowers were in her yard .,mc500.train.18.7
"After Kelly collected all of the flowers , she went inside and tied them together with string .",mc500.train.18.8
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.9
a hurry because it,mc500.train.18.10
"Finally , her mother woke up at 8:30 AM , and Kelly was excited !",mc500.train.18.11
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.12
The red ones the orange ones the green ones the middle,mc500.train.18.13
Kelly woke up one morning and went outside to her back yard .,mc500.train.18.14
Her mother 's favorite was the red one .,mc500.train.18.15
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.16
Kelly,mc500.train.18.17
She,mc500.train.18.18
She,mc500.train.18.19
After Kelly collected all of the flowers,mc500.train.18.20
After Kelly collected all of the flowers,mc500.train.18.21
Kelly,mc500.train.18.22
in diapers,mc500.train.18.23
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.24
"Finally , her mother woke up at 8:30 AM , and Kelly was excited !",mc500.train.18.25
"After Kelly collected all of the flowers , she went inside and tied them together with string .",mc500.train.18.26
Maxine was a happy frog that lived in a beautiful pond by the river .,mc500.train.25.0
in a beautiful pond,mc500.train.25.1
that,mc500.train.25.2
Maxine,mc500.train.25.3
Will stopped singing and went outside .,mc500.train.111.0
the store a good laugh at,mc500.train.111.1
his favorite song,mc500.train.111.2
inside,mc500.train.111.3
over to the living room,mc500.train.111.4
Will sat and finished his dinner in the kitchen .,mc500.train.111.5
