sch,sch_dep,sch_par,sid,story_dep,story_par,text
25	bird	bird	_	NN	_	22	nmod	_	_
26	--	--	_	:	_	33	punct	_	_
27	the	the	_	DT	_	28	det	_	_
28	bird	bird	_	NN	_	33	nsubj	_	_
29	would	would	_	MD	_	33	aux	_	_
30	be	be	_	VB	_	33	cop	_	_
31	undoubtedly	undoubtedly	_	RB	_	33	advmod	_	_
32	the	the	_	DT	_	33	det	_	_
33	queen	queen	_	NN	_	16	dep	_	_
34	of	of	_	IN	_	36	case	_	_
35	every	every	_	DT	_	36	det	_	_
36	bird	bird	_	NN	_	33	nmod	_	_
37	.	.	_	.	_	16	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	crow	crow	_	NN	_	3	nsubj	_	_
3	felt	feel	_	VBD	_	0	root	_	_
4	that	that	_	IN	_	8	mark	_	_
5	the	the	_	DT	_	6	det	_	_
6	fox	fox	_	NN	_	8	nsubj	_	_
7	had	have	_	VBD	_	8	aux	_	_
8	flattered	flatter	_	VBN	_	3	ccomp	_	_
9	her	she	_	PRP$	_	8	dobj	_	_
10	and	and	_	CC	_	8	cc	_	_
11	cawed	caw	_	VBD	_	8	conj	_	_
12	loudly	loudly	_	RB	_	11	advmod	_	_
13	in	in	_	IN	_	18	mark	_	_
14	order	order	_	NN	_	13	mwe	_	_
15	for	for	_	IN	_	18	mark	_	_
16	she	she	_	PRP	_	18	nsubj	_	_
17	to	to	_	TO	_	18	mark	_	_
18	show	show	_	VB	_	11	advcl	_	_
19	him	he	_	PRP	_	18	dobj	_	_
20	that	that	_	IN	_	23	mark	_	_
21	she	she	_	PRP	_	23	nsubj	_	_
22	was	be	_	VBD	_	23	cop	_	_
23	able	able	_	JJ	_	18	ccomp	_	_
24	to	to	_	TO	_	25	mark	_	_
25	sing	sing	_	VB	_	23	xcomp	_	_
26	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	cheese	cheese	_	NN	_	3	nsubj	_	_
3	fell	fall	_	VBD	_	0	root	_	_
4	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	3	nsubj	_	_
3	snatched	snatch	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	cheese	cheese	_	NN	_	3	dobj	_	_
6	,	,	_	,	_	3	punct	_	_
7	said	say	_	VBD	_	3	dep	_	_
8	that	that	_	IN	_	12	mark	_	_
9	the	the	_	DT	_	10	det	_	_
10	crow	crow	_	NN	_	12	nsubj	_	_
11	was	be	_	VBD	_	12	cop	_	_
12	able	able	_	JJ	_	7	ccomp	_	_
13	to	to	_	TO	_	14	mark	_	_
14	sing	sing	_	VB	_	12	xcomp	_	_
15	and	and	_	CC	_	14	cc	_	_
16	the	the	_	DT	_	17	det	_	_
17	fox	fox	_	NN	_	18	nsubj	_	_
18	said	say	_	VBD	_	14	conj	_	_
19	that	that	_	IN	_	22	mark	_	_
20	the	the	_	DT	_	21	det	_	_
21	crow	crow	_	NN	_	22	nsubj	_	_
22	needed	need	_	VBD	_	18	ccomp	_	_
23	wits	wit	_	NNS	_	22	dobj	_	_
24	.	.	_	.	_	3	punct	_	_

","(ROOT (S (NP (EX There)) (ADVP (RB once)) (VP (VBD was) (NP (DT a) (NN crow))) (. .)))
(ROOT (S (NP (DT The) (NN crow)) (VP (VBD was) (VP (VBG sitting) (PP (IN on) (NP (NP (DT a) (NN branch)) (PP (IN of) (NP (DT a) (NN tree))))))) (. .)))
(ROOT (S (NP (DT Some) (NN cheese)) (VP (VBD was) (PP (IN in) (NP (NP (DT the) (NN beak)) (PP (IN of) (NP (DT the) (NN crow)))))) (. .)))
(ROOT (S (NP (DT A) (NN fox)) (VP (VP (VBD observed) (NP (DT the) (NN crow))) (CC and) (VP (VBD tried) (S (VP (TO to) (VP (VB discover) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB get) (NP (DT the) (NN cheese))))))))))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VBD came) (CC and) (VBD stood) (PP (IN under) (NP (DT the) (NN tree)))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VP (VBD looked) (PP (IN toward) (NP (DT the) (NN crow)))) (CC and) (VP (VBD said) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD saw) (NP (NP (DT a) (JJ noble) (NN bird)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN above) (NP (PRP him)))))))))))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VBD said) (SBAR (IN that) (S (NP (NP (DT the) (NN beauty)) (PP (IN of) (NP (DT the) (NN bird)))) (VP (VBD was) (ADJP (JJ incomparable)))))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VBD said) (SBAR (IN that) (S (NP (NP (DT the) (NN hue)) (PP (IN of) (NP (NP (DT the) (NN plumage)) (PP (IN of) (NP (DT the) (NN bird)))))) (VP (VBD was) (ADJP (JJ exquisite)))))) (. .)))
(ROOT (S (NP (DT The) (NN fox)) (VP (VBD said) (NP (NP (DT that)) (PRN (: --) (SBAR (IN if) (S (NP (NP (DT the) (NN sweetness)) (PP (IN of) (NP (NP (DT the) (NN voice)) (PP (IN of) (NP (DT the) (NN bird)))))) (VP (VBZ is) (ADJP (JJ equal) (PP (TO to) (NP (NP (DT the) (NN fairness)) (PP (IN of) (NP (NP (DT the) (NN appearance)) (PP (IN of) (NP (DT the) (NN bird))))))))))) (: --)) (SBAR (S (NP (DT the) (NN bird)) (VP (MD would) (VP (VB be) (NP (NP (ADVP (RB undoubtedly)) (DT the) (NN queen)) (PP (IN of) (NP (DT every) (NN bird)))))))))) (. .)))
(ROOT (S (NP (DT The) (NN crow)) (VP (VP (VBD felt) (SBAR (IN that) (S (NP (DT the) (NN fox)) (VP (VBD had) (VP (VBN flattered) (NP (PRP$ her))))))) (CC and) (VP (VBD cawed) (ADVP (RB loudly) (PP (IN in) (NP (NP (NN order)) (PP (IN for) (NP (PRP she)))))) (S (VP (TO to) (VP (VB show) (NP (PRP him)) (SBAR (IN that) (S (NP (PRP she)) (VP (VBD was) (ADJP (JJ able) (S (VP (TO to) (VP (VB sing))))))))))))) (. .)))
(ROOT (S (NP (DT The) (NN cheese)) (VP (VBD fell)) (. .)))
(ROOT (S (S (NP (DT The) (NN fox)) (VP (VBD snatched) (NP (DT the) (NN cheese)))) (, ,) (VP (VBD said) (SBAR (IN that) (S (NP (DT the) (NN crow)) (VP (VBD was) (ADJP (JJ able) (S (VP (TO to) (VP (VB sing))))))))) (CC and) (S (NP (DT the) (NN fox)) (VP (VBD said) (SBAR (IN that) (S (NP (DT the) (NN crow)) (VP (VBD needed) (NP (NNS wits))))))) (. .)))
",fables-01,"1	A	a	_	DT	_	2	det	_	_
2	Crow	crow	_	NN	_	4	nsubj	_	_
3	was	be	_	VBD	_	4	aux	_	_
4	sitting	sit	_	VBG	_	0	root	_	_
5	on	on	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	branch	branch	_	NN	_	4	nmod	_	_
8	of	of	_	IN	_	10	case	_	_
9	a	a	_	DT	_	10	det	_	_
10	tree	tree	_	NN	_	7	nmod	_	_
11	with	with	_	IN	_	13	case	_	_
12	a	a	_	DT	_	13	det	_	_
13	piece	piece	_	NN	_	10	nmod	_	_
14	of	of	_	IN	_	15	case	_	_
15	cheese	cheese	_	NN	_	13	nmod	_	_
16	in	in	_	IN	_	18	case	_	_
17	her	she	_	PRP$	_	18	nmod:poss	_	_
18	beak	beak	_	NN	_	13	nmod	_	_
19	when	when	_	WRB	_	22	advmod	_	_
20	a	a	_	DT	_	21	det	_	_
21	Fox	Fox	_	NNP	_	22	nsubj	_	_
22	observed	observe	_	VBD	_	4	advcl	_	_
23	her	she	_	PRP	_	22	dobj	_	_
24	and	and	_	CC	_	22	cc	_	_
25	set	set	_	VB	_	22	conj	_	_
26	his	he	_	PRP$	_	27	nmod:poss	_	_
27	wits	wit	_	NNS	_	25	dobj	_	_
28	to	to	_	TO	_	29	mark	_	_
29	work	work	_	VB	_	25	advcl	_	_
30	to	to	_	TO	_	31	mark	_	_
31	discover	discover	_	VB	_	29	xcomp	_	_
32	some	some	_	DT	_	33	det	_	_
33	way	way	_	NN	_	31	dobj	_	_
34	of	of	_	IN	_	35	mark	_	_
35	getting	get	_	VBG	_	33	acl	_	_
36	the	the	_	DT	_	37	det	_	_
37	cheese	cheese	_	NN	_	35	dobj	_	_
38	.	.	_	.	_	4	punct	_	_

1	Coming	come	_	VBG	_	0	root	_	_
2	and	and	_	CC	_	1	cc	_	_
3	standing	stand	_	VBG	_	1	conj	_	_
4	under	under	_	IN	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	tree	tree	_	NN	_	3	nmod	_	_
7	he	he	_	PRP	_	8	nsubj	_	_
8	looked	look	_	VBD	_	6	acl:relcl	_	_
9	up	up	_	RP	_	8	compound:prt	_	_
10	and	and	_	CC	_	8	cc	_	_
11	said	say	_	VBD	_	8	conj	_	_
12	,	,	_	,	_	11	punct	_	_
13	``	``	_	``	_	11	punct	_	_
14	What	what	_	WP	_	11	dep	_	_
15	a	a	_	DT	_	17	det	_	_
16	noble	noble	_	JJ	_	17	amod	_	_
17	bird	bird	_	NN	_	14	nsubj	_	_
18	I	I	_	PRP	_	19	nsubj	_	_
19	see	see	_	VBP	_	17	acl:relcl	_	_
20	above	above	_	IN	_	21	case	_	_
21	me	I	_	PRP	_	19	nmod	_	_
22	!	!	_	.	_	14	punct	_	_

1	Her	she	_	PRP$	_	2	nmod:poss	_	_
2	beauty	beauty	_	NN	_	5	nsubj	_	_
3	is	be	_	VBZ	_	5	cop	_	_
4	without	without	_	IN	_	5	case	_	_
5	equal	equal	_	JJ	_	0	root	_	_
6	,	,	_	,	_	5	punct	_	_
7	the	the	_	DT	_	8	det	_	_
8	hue	hue	_	NN	_	5	dep	_	_
9	of	of	_	IN	_	11	case	_	_
10	her	she	_	PRP$	_	11	nmod:poss	_	_
11	plumage	plumage	_	NN	_	8	nmod	_	_
12	exquisite	exquisite	_	JJ	_	11	amod	_	_
13	.	.	_	.	_	5	punct	_	_

1	If	if	_	IN	_	7	mark	_	_
2	only	only	_	RB	_	4	advmod	_	_
3	her	she	_	PRP$	_	4	nmod:poss	_	_
4	voice	voice	_	NN	_	7	nsubj	_	_
5	is	be	_	VBZ	_	7	cop	_	_
6	as	as	_	IN	_	7	advmod	_	_
7	sweet	sweet	_	JJ	_	15	advcl	_	_
8	as	as	_	IN	_	12	mark	_	_
9	her	she	_	PRP$	_	10	nmod:poss	_	_
10	looks	look	_	NNS	_	12	nsubj	_	_
11	are	be	_	VBP	_	12	cop	_	_
12	fair	fair	_	JJ	_	7	advcl	_	_
13	,	,	_	,	_	15	punct	_	_
14	she	she	_	PRP	_	15	nsubj	_	_
15	ought	ought	_	MD	_	0	root	_	_
16	without	without	_	IN	_	17	case	_	_
17	doubt	doubt	_	NN	_	15	nmod	_	_
18	to	to	_	TO	_	20	mark	_	_
19	be	be	_	VB	_	20	cop	_	_
20	Queen	queen	_	NN	_	15	xcomp	_	_
21	of	of	_	IN	_	23	case	_	_
22	the	the	_	DT	_	23	det	_	_
23	Birds	Birds	_	NNP	_	20	nmod	_	_
24	.	.	_	.	_	15	punct	_	_
25	''	''	_	''	_	15	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	Crow	Crow	_	NNP	_	5	nsubjpass	_	_
3	was	be	_	VBD	_	5	auxpass	_	_
4	hugely	hugely	_	RB	_	5	advmod	_	_
5	flattered	flatter	_	VBN	_	0	root	_	_
6	by	by	_	IN	_	7	case	_	_
7	this	this	_	DT	_	5	nmod	_	_
8	,	,	_	,	_	5	punct	_	_
9	and	and	_	CC	_	5	cc	_	_
10	just	just	_	RB	_	12	advmod	_	_
11	to	to	_	TO	_	12	mark	_	_
12	show	show	_	VB	_	5	conj	_	_
13	the	the	_	DT	_	14	det	_	_
14	Fox	Fox	_	NNP	_	12	dobj	_	_
15	that	that	_	IN	_	18	mark	_	_
16	she	she	_	PRP	_	18	nsubj	_	_
17	could	could	_	MD	_	18	aux	_	_
18	sing	sing	_	VB	_	12	ccomp	_	_
19	she	she	_	PRP	_	20	nsubj	_	_
20	gave	give	_	VBD	_	18	ccomp	_	_
21	a	a	_	DT	_	23	det	_	_
22	loud	loud	_	JJ	_	23	amod	_	_
23	caw	caw	_	NN	_	20	dobj	_	_
24	.	.	_	.	_	5	punct	_	_

1	Down	down	_	NN	_	2	nsubj	_	_
2	came	come	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	cheese	cheese	_	NN	_	2	dobj	_	_
5	,	,	_	,	_	4	punct	_	_
6	of	of	_	IN	_	7	case	_	_
7	course	course	_	NN	_	4	nmod	_	_
8	,	,	_	,	_	4	punct	_	_
9	and	and	_	CC	_	4	cc	_	_
10	the	the	_	DT	_	11	det	_	_
11	Fox	Fox	_	NNP	_	17	nsubj	_	_
12	,	,	_	,	_	11	punct	_	_
13	snatching	snatch	_	VBG	_	11	dep	_	_
14	it	it	_	PRP	_	13	dobj	_	_
15	up	up	_	RP	_	13	compound:prt	_	_
16	,	,	_	,	_	11	punct	_	_
17	said	say	_	VBD	_	4	conj	_	_
18	,	,	_	,	_	17	punct	_	_
19	``	``	_	``	_	17	punct	_	_
20	You	you	_	PRP	_	21	nsubj	_	_
21	have	have	_	VBP	_	17	ccomp	_	_
22	a	a	_	DT	_	28	dep	_	_
23	voice	voice	_	NN	_	28	dep	_	_
24	,	,	_	,	_	23	punct	_	_
25	madam	madam	_	NN	_	23	appos	_	_
26	,	,	_	,	_	23	punct	_	_
27	I	I	_	PRP	_	28	nsubj	_	_
28	see	see	_	VBP	_	21	dobj	_	_
29	:	:	_	:	_	28	punct	_	_
30	what	what	_	WP	_	32	dobj	_	_
31	you	you	_	PRP	_	32	nsubj	_	_
32	want	want	_	VBP	_	34	csubj	_	_
33	is	be	_	VBZ	_	34	cop	_	_
34	wits	wit	_	NNS	_	28	parataxis	_	_
35	.	.	_	.	_	2	punct	_	_
36	''	''	_	''	_	2	punct	_	_

","(ROOT (S (NP (DT A) (NN Crow)) (VP (VBD was) (VP (VBG sitting) (PP (IN on) (NP (NP (DT a) (NN branch)) (PP (IN of) (NP (NP (DT a) (NN tree)) (PP (IN with) (NP (NP (DT a) (NN piece)) (PP (IN of) (NP (NP (NN cheese)) (PP (IN in) (NP (PRP$ her) (NN beak))))))))))) (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NNP Fox)) (VP (VP (VBD observed) (NP (PRP her))) (CC and) (VP (VB set) (NP (PRP$ his) (NNS wits)) (S (VP (TO to) (VP (VB work) (S (VP (TO to) (VP (VB discover) (NP (NP (DT some) (NN way)) (PP (IN of) (S (VP (VBG getting) (NP (DT the) (NN cheese)))))))))))))))))) (. .)))
(ROOT (S (S (VP (VBG Coming) (CC and) (VBG standing) (PP (IN under) (NP (DT the) (NN tree))))) (NP (PRP he)) (VP (VP (VBD looked) (PRT (RP up))) (CC and) (VP (VBD said) (, ,) (`` ``) (S (NP (WP What)) (NP (NP (DT a) (JJ noble) (NN bird)) (SBAR (S (NP (PRP I)) (VP (VBP see) (PP (IN above) (NP (PRP me)))))))))) (. !)))
(ROOT (S (S (NP (PRP$ Her) (NN beauty)) (VP (VBZ is) (PP (IN without) (ADJP (JJ equal))))) (, ,) (NP (NP (DT the) (NN hue)) (PP (IN of) (NP (PRP$ her) (NN plumage)))) (VP (JJ exquisite)) (. .)))
(ROOT (S (SBAR (IN If) (RB only) (S (NP (PRP$ her) (NN voice)) (VP (VBZ is) (ADJP (IN as) (JJ sweet)) (SBAR (IN as) (S (NP (PRP$ her) (NNS looks)) (VP (VBP are) (ADJP (JJ fair)))))))) (, ,) (NP (PRP she)) (VP (MD ought) (S (PP (IN without) (NP (NN doubt))) (VP (TO to) (VP (VB be) (NP (NP (NN Queen)) (PP (IN of) (NP (DT the) (NNP Birds)))))))) (. .) ('' '')))
(ROOT (S (S (NP (DT The) (NNP Crow)) (VP (VBD was) (ADVP (RB hugely)) (VP (VBN flattered) (PP (IN by) (NP (DT this)))))) (, ,) (CC and) (S (ADVP (RB just)) (S (VP (TO to) (VP (VB show) (NP (DT the) (NNP Fox)) (SBAR (IN that) (S (NP (PRP she)) (VP (MD could) (VP (VB sing) (NP (PRP she))))))))) (VP (VBD gave) (NP (DT a) (JJ loud) (NN caw)))) (. .)))
(ROOT (S (S (NP (NN Down)) (VP (VBD came) (NP (NP (DT the) (NN cheese)) (, ,) (PP (IN of) (NP (NN course)))))) (, ,) (CC and) (S (NP (NP (DT the) (NNP Fox)) (, ,) (VP (VBG snatching) (NP (PRP it)) (PRT (RP up))) (, ,)) (VP (VBD said) (, ,) (`` ``) (S (NP (PRP You)) (VP (VBP have) (NP (NP (NP (DT a) (NN voice)) (, ,) (NP (NN madam)) (, ,)) (SBAR (S (NP (PRP I)) (VP (VBP see) (: :) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP want) (SBAR (S (VP (VBZ is) (NP (NNS wits)))))))))))))))) (. .) ('' '')))
","A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese. 
Coming and standing under the tree he looked up and said, ""What a noble bird I see above me! Her beauty is without equal, the hue of her plumage exquisite. If only her voice is as sweet as her looks are fair, she ought without doubt to be Queen of the Birds."" 
The Crow was hugely flattered by this, and just to show the Fox that she could sing she gave a loud caw. Down came the cheese, of course, and the Fox, snatching it up, said, ""You have a voice, madam, I see: what you want is wits."""
"A clever fox invited a stork to dine.  
The fox only served some soup in a flat and large dish.  
The fox lapped the soup with relish.  
The stork attempted to drink some savory broth and failed.  
The fox believed that distress was amusing.  
The stork shortly invited the fox to dine.  
The stork presented the fox with a pitcher.  
The stork easily fitted the long bill of the stork into the long and narrow neck of the pitcher.  
The stork enjoied some dinner.  
The fox began to be hungry and began to be helpless because he wasn't able to reach some food that was in the pitcher.  
","1	A	a	_	DT	_	3	det	_	_
2	clever	clever	_	JJ	_	3	amod	_	_
3	fox	fox	_	NN	_	4	nsubj	_	_
4	invited	invite	_	VBD	_	0	root	_	_
5	a	a	_	DT	_	6	det	_	_
6	stork	stork	_	NN	_	4	dobj	_	_
7	to	to	_	TO	_	8	mark	_	_
8	dine	dine	_	VB	_	4	advcl	_	_
9	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	4	nsubj	_	_
3	only	only	_	RB	_	4	advmod	_	_
4	served	serve	_	VBD	_	0	root	_	_
5	some	some	_	DT	_	6	det	_	_
6	soup	soup	_	NN	_	4	dobj	_	_
7	in	in	_	IN	_	12	case	_	_
8	a	a	_	DT	_	12	det	_	_
9	flat	flat	_	JJ	_	12	amod	_	_
10	and	and	_	CC	_	9	cc	_	_
11	large	large	_	JJ	_	9	conj	_	_
12	dish	dish	_	NN	_	4	nmod	_	_
13	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	3	nsubj	_	_
3	lapped	lap	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	soup	soup	_	NN	_	3	dobj	_	_
6	with	with	_	IN	_	7	case	_	_
7	relish	relish	_	NN	_	3	nmod	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	stork	stork	_	NN	_	3	nsubj	_	_
3	attempted	attempt	_	VBN	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	drink	drink	_	VB	_	3	xcomp	_	_
6	some	some	_	DT	_	8	det	_	_
7	savory	savory	_	JJ	_	8	amod	_	_
8	broth	broth	_	NN	_	5	dobj	_	_
9	and	and	_	CC	_	3	cc	_	_
10	failed	fail	_	VBD	_	3	conj	_	_
11	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	fox	fox	_	NN	_	3	nsubj	_	_
3	believed	believe	_	VBD	_	0	root	_	_
4	that	that	_	IN	_	7	mark	_	_
5	distress	distress	_	NN	_	7	nsubj	_	_
6	was	be	_	VBD	_	7	cop	_	_
7	amusing	amusing	_	JJ	_	3	ccomp	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	stork	stork	_	NN	_	4	nsubj	_	_
3	shortly	shortly	_	RB	_	4	advmod	_	_
4	invited	invite	_	VBD	_	0	root	_	_
5	the	the	_	DT	_	6	det	_	_
6	fox	fox	_	NN	_	4	dobj	_	_
7	to	to	_	TO	_	8	mark	_	_
8	dine	dine	_	VB	_	4	advcl	_	_
9	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	stork	stork	_	NN	_	3	nsubj	_	_
3	presented	present	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	fox	fox	_	NN	_	3	dobj	_	_
6	with	with	_	IN	_	8	case	_	_
7	a	a	_	DT	_	8	det	_	_
8	pitcher	pitcher	_	NN	_	3	nmod	_	_
9	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	stork	stork	_	NN	_	4	nsubj	_	_
3	easily	easily	_	RB	_	4	advmod	_	_
4	fitted	fit	_	VBD	_	0	root	_	_
5	the	the	_	DT	_	7	det	_	_
6	long	long	_	JJ	_	7	amod	_	_
7	bill	bill	_	NN	_	4	dobj	_	_
8	of	of	_	IN	_	10	case	_	_
